BLOCK,USI_CODE,REGION,LENGTH_KM,ACQUISITION_YEAR,PROCESSING_YEAR
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,22.10081,1986,2018
PM327,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,30.35904,1986,2018
"PM419, PM342, PM304",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,115.13944,1986,2018
"PM327, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,90.61725,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,78.67623,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,85.41113,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,50.20136,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,54.2824,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,7.41719,1986,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,31.55933,2018,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,42.68235,2018,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,41.19965,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,26.61409,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,27.00429,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,29.089,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,30.0455,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,34.091,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,73.70529,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,110.77177,1986,2018
"PM419, PM342, PM327",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,57.08848,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,11.98126,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,15.15309,1986,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,25.0561,2018,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,34.78664,2018,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,31.72546,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,21.79391,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,25.95164,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,23.37193,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,27.739,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,14.9537,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,62.41958,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,126.46124,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,28.3533,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,45.31175,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,24.85507,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,19.20701,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,53.09726,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,25.95587,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,41.09365,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,23.12391,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,26.03496,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,32.12042,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,24.10624,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,9.67993,1986,2018
"PM419, PM342, PM304",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,116.09754,1986,2018
"PM327, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,111.44218,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,16.49467,1986,2018
"PM327, PM419",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,60.92699,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,18.68506,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,12.24777,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,21.60514,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,49.20121,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,49.58556,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,58.98522,1986,2018
"PM419, PM342, PM304",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,103.27425,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,37.04526,1986,2018
"PM419, PM342, PM327",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,61.58935,1986,2018
"PM327, PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,55.79363,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,27.7956,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,18.03954,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,13.75926,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,22.639,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,25.13429,1986,2018
"PM419, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,45.62685,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,22.61859,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,26.61425,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,27.0543,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,38.92767,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,38.0508,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,32.10415,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,53.64004,1986,2018
PM327,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,14.00826,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,82.32059,1986,2018
"PM327, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,122.90123,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,13.08551,1986,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,43.5216,2018,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,23.43933,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,19.13321,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,25.09711,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,24.14023,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,34.15138,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,19.11832,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,115.54689,1986,2018
"PM419, PM342, PM304",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,95.18555,1986,2018
"PM341, PM407",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,87.49854,1986,2018
"PM419, PM407, PM341",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,183.8683,1986,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,29.30814,2018,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,33.84438,1986,2018
PM407,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,14.84328,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,21.63398,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,23.01908,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,24.10199,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,23.11428,1986,2018
"PM327, PM419",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,44.97999,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,73.29079,1986,2018
"PM327, PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,53.47548,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,79.94131,1986,2018
PM342,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,31.37319,1986,2018
"PM419, PM342, PM327",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,41.94466,1986,2018
"PM327, PM419",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,46.73612,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,46.19885,1986,2018
"PM327, PM419",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,66.05945,1986,2018
"PM419, PM342",MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,43.19335,1986,2018
PM419,MYS1986P20182DM02PMOTEMBAKAU,Peninsular East,18.90909,1986,2018
SB409,MYS2018P20182DL01SBOKLIAS,Sabah,31.93227,2018,2018
"3B, 2C",MYS20042DM2SKND123,Sarawak,107.06712,2004,2006
"SK438, SK437, SK405B, SK427, SK314A",MYS20042DM1SK305,Sarawak,77.40406,2004,2004
"SK438, SK437, SK405B, SK427, SK314A",MYS20042DM1SK305,Sarawak,32.22873,2004,2004
"SK438, SK437, SK405B, SK427, SK314A",MYS20042DM1SK305,Sarawak,34.09088,2004,2004
SK433,MYS19902DL1SK14,Sarawak,4.77902,1990,1990
SK433,MYS19902DL1SK14,Sarawak,4.80047,1990,1990
SK433,MYS19872DL1SK14,Sarawak,18.30863,1987,1987
SK433,MYS19872DL1SK14,Sarawak,7.41209,1987,1987
SK433,MYS19872DL1SK14,Sarawak,7.02017,1987,1987
SK433,MYS19872DL1SK14,Sarawak,16.89557,1987,1987
SK433,MYS19872DL2SK14,Sarawak,5.37906,1987,2005
SK433,MYS19872DL2SK14,Sarawak,14.03,1987,2005
SK433,MYS19872DL2SK14,Sarawak,15.20718,1987,2005
SK427,MYS19832DM2SK305,Sarawak,12.51065,1983,2004
SK427,MYS19832DM2SK305,Sarawak,23.3922,1983,2004
SK427,MYS19832DM2SK305,Sarawak,6.78542,1983,2004
SK438 & SK314A,MYS19832DM2SK305,Sarawak,17.02359,1983,2004
SK314A & SK427,MYS19832DM2SK305,Sarawak,9.92022,1983,2004
SK438 & SK314A,MYS19832DM2SK305,Sarawak,51.05628,1983,2004
SK427,MYS19832DM2SK305,Sarawak,6.58753,1983,2004
SK314A & SK427,MYS19832DM2SK305,Sarawak,15.05831,1983,2004
SK314A & SK427,MYS19832DM2SK305,Sarawak,15.05943,1983,2004
SK314A & SK427,MYS19832DM2SK305,Sarawak,15.05942,1983,2004
SK325 & SK438,MYS19832DM2SK305,Sarawak,47.20759,1983,2004
"SK431, SK332",MYS20032DL1SK332,Sarawak,15.99715,2003,2003
"SK431, SK332",MYS20032DL1SK332,Sarawak,8.84237,2003,2003
"SK431, SK332",MYS20032DL1SK332,Sarawak,12.52206,2003,2003
"SK431, SK332",MYS20032DL1SK332,Sarawak,15.6105,2003,2003
"4F, 5F",MYS20012DM1SKF,Sarawak,61.2497,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.25039,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.2529,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.24903,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.24907,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,81.25684,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,117.49994,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,131.33203,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.25161,2001,2001
"4F, 5F",MYS20012DM1SKF,Sarawak,61.25301,2001,2001
4F,MYS20012DM2SKF,Sarawak,50.43109,2001,2003
4F,MYS20012DM2SKF,Sarawak,49.22196,2001,2003
4F,MYS20012DM2SKF,Sarawak,49.8568,2001,2003
"4F, 5F",MYS20012DM3SKF,Sarawak,79.51123,2001,2005
"4F, 5F",MYS20012DM3SKF,Sarawak,50.25115,2001,2005
MLNG2,MYS20002DM1SKM1,Sarawak,10.96216,2000,2000
SK316,MYS19982DM1SK307,Sarawak,13.0026,1998,1998
SK417,MYS19982DM1SK307,Sarawak,12.97701,1998,1998
"SK510, SK417",MYS19982DM1SK307,Sarawak,18.98146,1998,1998
"SK417, SK407",MYS19982DM1SK307,Sarawak,52.92821,1998,1998
